,X,Y,Block,Class,Coordinates,Description,Plate,Site,Stratum,Year,Chapter
48,43,45,C, III. Copper and bronze •Ânger-rings (nos. 19‰ÛÓ56),"43,45","48. Similar to last, but with round bezel. Standing female •Âgure with •Ââowing draperies; damaged. Diam. 0-75 in. Sk. ‰Ûª24‰ÛÓ872; Block C; sq. 43'45‰Ûª; stratum II. Cf. p. 149, no. 6 supra. (Pl. 198, no. 48.)",198-48,Sk,2,1924,31
49,94,87,F, III. Copper and bronze •Ânger-rings (nos. 19‰ÛÓ56),"94,87","49. Similar, but with raised bezel engraved with a standing male •Âgure (? Siva) dancing with arms akimbo. Much corroded. Diam. 0-62 in. Sk. ‰Ûª28‰ÛÓ2,095; Block F‰Ûª; sq. 94-87‰Ûª; stratum II. Cf. p. 183 supra. (Pl. 198, no. 49.)",198-49,Sk,2,1928,31
50,94,56,, III. Copper and bronze •Ânger-rings (nos. 19‰ÛÓ56),"94,56","50. Bronze •Ânger-ring with •Ââat oval bezel engraved with miniature seated •Âgure on throne. Diam. 0-62 in. Sk. ‰Ûª13‰ÛÓ131; sq. 94- 56‰Ûª; Eighth Street; stratum II. (Pl. 198, no. 50.)",198-50,Sk,2,1913,31
51,109,85,G, III. Copper and bronze •Ânger-rings (nos. 19‰ÛÓ56),"109,85","51. Circular bezel of a copper •Ânger-ring engraved with standing draped •Âgure holding snake or bow in right hand, and perhaps dancing. Hoop missing. Diam. 0-68 in. Sk. ‰Ûª29‰ÛÓ2,34o; Block G‰Ûª; sq. 109~85‰Ûª; stratum II. Cf. p. 18x supra. (Pl. 198, no. 51 and P1. 207, no. 18.) .",198-51 and 207-18,Sk,2,1929,31
53,154,63,, III. Copper and bronze •Ânger-rings (nos. 19‰ÛÓ56),"154,63","53. Ring of copper wire with square raised bezel. Diam. 0-93 in. The hoop is •Ââat within, rounded without. Engraved on the bezel is the •Âgure of a humped bull, and an inscription in Kharoshthi, viz.: Yavala(le?)trasa=‰Û÷0f Yavalatra‰Ûª (or ‰Û÷Yavaletra‰Ûª). Cf. C.I.I. II, pt. I, p. 100, Pl. XX, 4. First century AD. Sk. ‰Ûª24‰ÛÓ1,5 56; BlockK (palace); sq. 154-63‰Ûª; stratum II. See p. 177 supra; A.S.R. (1924), P1. x1, 5. (P1. 198, no. 53 and P1. 207, no. 35.)",198-53 and 207-35,Sk,2,1924,31
55,50,43,C, III. Copper and bronze •Ânger-rings (nos. 19‰ÛÓ56),"50,43","55. Similar to preceding, engraved with a standing male •Âgure intaglio. Diam. 056 in. Inscription corroded: Mahajha(na)putrasa. . .jhanasa (?)=‰Û÷Of. . .dhyana, the son of Maha- dyana‰Ûª. Cf. C.I.I. II, pt. I, p. 101 (6), Pl. xx, 5. Sk. ‰Ûª24‰ÛÓ1,416; Block C; sq. 50-43‰Ûª; stratum II. Cf. p. 149, no. 6 supra; A.S.R. (1924), P1. XI, 3. (Pl. 198, no. 55 and P1. 208, no. 46.)",198-55 and 208-46,Sk,2,1924,31
60,54,117,D," VI. Stone •Ânger-rings (nos. 60, 61)","54,117","60. Finger-ring of onyx, with projecting almond-shaped bezel. Diam. 112 in. Hoop •Ââat Within, rounded without. Sk. ‰Ûª19‰ÛÓ1,003; Block D‰Ûª; sq. 54-117‰Ûª; stratum II. Cf. p. 191 supra. (Pl. 209, g.)",209-g,Sk,2,1919,31
67,163,52,K, VIII. Glass •Ânger-rings (nos. 67‰ÛÓ9),"163,52",67. Fragment of glass •Ânger-ring with •Ââat almond-shaped bezel. Diam. 0-81 in. The glass is colourless and transparent. Sk. ‰Ûª14‰ÛÓ193; Block K (palace); sq. 163-52‰Ûª; stratum II. Cf. p. 177 supra.,,Sk,2,1914,31
68,68,76,E, VIII. Glass •Ânger-rings (nos. 67‰ÛÓ9),"68,76",68. Similar but of yellow glass. Diam. 0-75 in. Sk. ‰Ûª16‰ÛÓ161; Block E‰Ûª; sq. 68-76‰Ûª; stratum III. Cf. p. 185 supra.,,Sk,3,1916,31
70,73,97,E, IX. Engraved gems of stone and paste intended for,"73,97","70. Oval intaglio of malachite with •Âgure of a winged Nike armed with spear and holding wreath and •Âllet in outstretched hand, as on contemporary Indo‰ÛÓParthian coins. Longer axis 075 in. Sk. ‰Ûª22‰ÛÓ566; Block E‰Ûª; sq. 73-97‰Ûª; stratum II. Cf. p. 185 supra. (Pl. 208, no. 53.)",208-53,Sk,2,1922,31
71,77,65,E, IX. Engraved gems of stone and paste intended for,"77,65","71, a‰ÛÓz'. Nine oval intaglios of jacinth cut en cabochon and hollowed at back. They are engraved with various full-length •Âgures and busts. The best in point of execution is a •Âgure of Athens (10, f) with helmet, spear and shield, and a snake to left. Another draped and helmeted •Âgure (10, a) may also be the same goddess, but what looks like a shield may be the badly drawn wing of a Nike. On h and 1' is portrayed a draped goddess with cornucopia, the one on the former being helmeted. This may perhaps be the same goddess that is •Âgured in nos. I and 2 of the ‰Û÷Stone Sculptures‰Ûª, ch. 36. On b and g are •Âgures of the winged Nike, the former with the palm of victory between her legs instead of in her hand. The three remaining intaglios are very roughly executed busts. Their head-dresses, however, are interesting. Fig. d wears a plumed helmet with a curious projection above the rim in front; the other two (c and e) wear turbans with the same projection in front. All the intaglios, except a and f, are of such rough workman- ship that on grounds of style they might Well be attributed to the third or fourth century A.D. That they date, however, from the •Ârst century is proved by the association in which they were found. Sk. ‰Ûª13‰ÛÓ194; Block E; sq. 77-65‰Ûª; strata I‰ÛÓII (injar). Cf. p. 160, no. 4. supra; A.S.R. (I912), p. 28. From same hoard as nos. 72 and 73 infra. (Pl. 207, no. 10, a‰ÛÓz'.)",207-10-a‰ÛÓz',Sk,,1913,31
2,,,K, I. Bangles (nos. 1‰ÛÓ4),,"2. Similar, of ivory, with incised cross-hatching between parallel lines on outer face. Length 1-5 in. Sk. ‰Ûª15‰ÛÓ838; Block K‰Ûª; sq. 16o~106‰Ûª; stratum II. Cf. p. 180 supra. (Pl. 199, no. 2.)",199-2,Sk,2,1915,32
3,86,72,, I. Bangles (nos. 1‰ÛÓ4),"86,72","3. Ring of ivory. Diam. 2å¡ 5 in. This has the appearance of a bangle but seems rather to have been the base of a small pedestal like no. 56, though made in a separate piece. The inner face of the ring is rough; only the outer face is smooth. Sk. ‰ÛªI4‰ÛÓI,I77; Main Street; sq. 86-72‰Ûª; stratum III. (Pl. 199, no. 3.)",199-3,Sk,3,,32
4,18,66,A, I. Bangles (nos. 1‰ÛÓ4),"18,66","4. Similar to preceding. Diam. 2-25 in. Sk. ‰Ûª16‰ÛÓ8 5; Block A; sq. 18'66‰Ûª; stratum II. Cf. p. 146 supra. The term ‰Û÷ear‰ÛÓreel‰Ûª for this kind of ornament seems preferable to ‰Û÷ear-plug‰Ûª, since the form they take is that of a reel and they were worn in the lobe, not in the MT 83 654 BONE AND IVORY OBJECTS [CH. 32 ori•Âce of the ear. Some are solid; others pierced with a hole at the centre. They have been found only in the Bhir Mound, in stratum IV. For other objects from the same early stratum, with which these ear‰ÛÓreels should have been included, see vol. I, p. 102. 5. Ear-reel of •Âne ivory, with one side convex and hole through centre, by which the reel may have been suspended on a cord. Diam. 0-93 in. Bm. ‰Ûª24‰ÛÓ881; sq. 7-57‰Ûª; stratum IV. (Pl. 199, no. 5.) 6. Similar, well turned on the lathe. One side slightly concave and decorated with incised concentric circles round a central projection. Diam. 1 in. Bm. ‰Ûª21‰ÛÓ345; sq. 30-13‰Ûª; stratum IV. (Pl. 199, no. 6.) 7. Similar, of bone, with hole through centre. It is of exceptionally large size. Diam. 1-31 in. Bm. ‰Ûª19‰ÛÓ2,090; spoil earth. (P1. 199, no. 7.) This class of ornamental bead comes only from the Bhir Mound and dates from the sixth to third centuries B.C. All the specimens are of bone and divided into eight gadroons. The Indian term dmalaka is adopted from the dmalaka or gadrooned sphere or wheel with which the s‰Ûªikham of a Hindu temple is usually crowned and which, in its turn, derived its name from the dmalaka fruit. Beads of the same shape but made of faience are found in Sirkap. They seem to have been fashionable in the •Ârst century A.D.","199-5, 199-6, 199-7",Sk,2,1916,32
15,,,, IV. Pendants and amulets (nos. 12‰ÛÓ17),,"15. Similar to preceding, with decoration of incised lines only on handle and blade. Length 187 in. The workmanship is noticeably rougher than in the Bhir Mound specimens. Sk. ‰Ûª14‰ÛÓ 151; spoil earth. (Pl. 199, no. 15.)",199-15,Sk,,1914,32
16,11,100,1, IV. Pendants and amulets (nos. 12‰ÛÓ17),"11,100","16. Similar, with two small holes near base of blade and incised parallel lines on handle and blade. Length 262 in. H1. ‰Ûª12‰ÛÓ28; I ft. below surface. (Pl. 199, no. 16.) 17. Amulet in form of crude bucranium, consisting of a pair of animal teeth bound together with strip of copper. Length 143 in. Sk. ‰Ûª29‰ÛÓ1,I72; Block 1'; sq. 11-100‰Ûª; stratum III. In Greece the ox‰ÛÓskull was apotropaic. For another tooth amulet, see ‰Û÷ Gold and Silver Jewellery‰Ûª, ch. 30, no. 80. Cf. p. 196 supra. (Pl. 199, no. 17.) GROUP B. ARTICLES OF DRESS AND TOILET Comprising combs and comb‰ÛÓhandles, hair-pins, antimony-rods, ear‰ÛÓcleaners and toothpicks, handles of mirrors, fan and other articles. These come exclusively from the Sirkap site and date from the •Ârst centuries before and after Christ, that is, from the Saka‰ÛÓParthian period. They are of a type familiar in the Graeco-Roman world and were no doubt introduced from the West.I (Cf. B.M. Guide to Greek and Roman Life, nos. 387 and 387, a, •Âg. 141.) One of the TaXila combs (no. 22) is a big, heavy comb with a straight top. The rest are smaller and of lighter make, with curved tops. One only (no. 18) is plain; the rest are decorated with incised circlets or more elaborate designs, including a shell, foliate devices, duck, and a pair of human busts of the kind that are familiar in Graeco-Roman art as well as in the carvings of Gandhara and Mathura. Such teeth as survive are sawn very evenly With a •Âne saw and are only slightly rounded at the ends, not pointed. The smaller and lighter combs may have been used as ornaments in the hair. Ivory and bone were both used in their manufacture.","199-16, 199-17",Sk,3,1912,32
18,91,51,F, V. Combs (nos. 18‰ÛÓ23),"91,51","18. Hair-comb of bone with curved top and no decoration. All teeth broken. Length 287 in. Sk. ‰Ûª26‰ÛÓ2,77o; Block F; sq. 91-51'; stratum IV. First century B.C. Cf. pp. 135, 166, n. I supra. (Pl. 199, no. 18.) 19. Similar, of bone, with eleven incised circlets on one side and ten on the other. Eight teeth complete. Length 231 in. First century AD. Sk. ‰Ûª26‰ÛÓ4,236; Block 1; sq. 13-47‰Ûª; stratum II. Cf. p. 142 supra. (Pl. 199, no. 19.) 20. Similar and of same date but of ivory, with seven incised circlets on one side and eight on the other. Length 175 in. Sk. ‰Ûª26‰ÛÓ460; Block I; sq. 132'65‰Ûª; stratum II. Cf. p. 171 supra. 21. Similar, of ivory, engraved with male and female busts on one side and a duck on the other. Teeth missing. The ‰Û÷pair of busts‰Ûª motif was familiar in Graeco-Roman art and no I The hair-comb of the kind described here was called KTsis or KTÌ©Vtov by the Greeks. Edwov was the comb used for wool. 83-2 656 BONE AND IVORY OBJECTS [01-1. 32 doubt derived from the West; it is frequently seen in Gandhara and still more frequently in Mathura reliefs. For the bird motif on this comb, cf. B.M. Guide to Greek and Roman Life, no. 387, and Hackin, Recherches Arche‰Ûªologiques d Begram, ch. 2 (1937), P1. LXXVII, •Âg. 237. Length 181 in. Sk. ‰Ûª28‰ÛÓ194; Block A‰Ûª; sq. 23-93‰Ûª; stratum II. Cf. p. 195 supra. (Pl. 199, no. 21.)","199-18, 199-19, 199-21",Sk,4,1926,32
22,,,, V. Combs (nos. 18‰ÛÓ23),,"22. Similar, of ivory, decorated with •Ââoral design in beaded border on one side and conch shell and •Ââoral design in beaded border on the other. Length 1-87 in. Sk. ‰Ûª19‰ÛÓI,680; spoil earth. (Pl. 199, no. 22.)",199-22,Sk,,1919,32
23,58,115,D, V. Combs (nos. 18‰ÛÓ23),"58,115","23. Hair-comb of ivory with straight edge at top and sides slightly curved inwards. Decora‰ÛÓ tion of incised circles between parallel beaded borders, which are also incised. The comb is unusually large and heavy, measuring 4-12 x 3- 5 x 045 in. Sk. ‰Ûª19‰ÛÓ708; Block D‰Ûª; sq. 58-1 I 5‰Ûª; stratum II. Cf. p. 191 supra. (Pl. 199, no. 23.) These are made of both bone and ivory, and range in date from the •Âfth century 3.0. to the •Ârst century A.D. Only two specimens, however, have been found in the Bhir Mound site and both of them have plain knob heads (nos. 24., 25). The pins with ornamental heads come exclusively from Sirkap, and with one exception (no. 26) are referable to the Saka-Parthian period. Most characteristic of the motifs carved on the heads are the inverted comb and standard cock, the latter of which seems to be copied from Hellenistic prototypes. There is also a peculiar wave design with projecting mouldings on either side (no. 29). Less distinctive are the heads of nos. 28 and 33, which take the form of a bell or pot capital with incised rings below.",199-23,Sk,2,1919,32
28,66,113,, VI. Hair-pins (nos. 24‰ÛÓ34),"66,113","28. Hair-pin of ivory, with head in form of inverted bell capital and incised rings below. Sk. ‰Ûª29‰ÛÓ1,057; Sixth Street (west); sq. 66-113‰Ûª; stratum IV. Cf. p. 13 5 supra. (Pl. 199, no. 28 and P1. 206, no. 20.)",199-28 and 206-20,Sk,4,1929,32
29,93,50,F, VI. Hair-pins (nos. 24‰ÛÓ34),"93,50","29. Part of bone hair-pin, with wave-shaped head and projecting mouldings on either side. Length 325 in. Sk. ‰Ûª26‰ÛÓ2,969; Block F; sq. 93'50‰Ûª; stratum III. Cf. p. 166 supra. (Pl. 199, no. 29 and P1. 206, no. 12.) I Cf. Allan, B.M. Cat. of Am. Ind. Coins, pp. XXV, lxiv, 55. For beads at Taxila in the shape of combs, cf. the chapter on ‰Û÷Beads‰Ûª, p. 74.8 infra. 2 The •Ângers are called ‰Û÷comb-teeth‰Ûª (K'rÌ©vas) in Aeschylus, Agam. 1. 1594. CH. 32] BONE AND IVORY OBJECTS 657",199-29 and 206-12,Sk,3,1926,32
30,23,45,A, VI. Hair-pins (nos. 24‰ÛÓ34),"23,45","30. Similar, with head in form of cock standing on abacus. Length 237 in. Sk. ‰Ûª29‰ÛÓ2,I46; Block A; sq. 23-45‰Ûª; stratum III. Cf. p. 146 supra. (Pl. 206, no. I4.)",206-I4,Sk,3,1929,32
31,41,48,C, VI. Hair-pins (nos. 24‰ÛÓ34),"41,48","31. Similar to no. 26, but lower part of pin missing. Length 3-37 in. Sk. ‰Ûª24‰ÛÓ419; Block C; sq. 41-48‰Ûª; stratum II. Cf. p. 149, no. 5 supra. (Pl. 206, no. 13.)",206-13,Sk,2,1924,32
32,41,51,C, VI. Hair-pins (nos. 24‰ÛÓ34),"41,51","32. Similar to no. 30, but the cock is mounted on a capital instead of abacus only. Length 3-37 in. Sk. ‰Ûª24‰ÛÓ62; Block C; sq. 41- 51‰Ûª; stratum II. Cf. p. 149, no. 5 supra. (Pl. 206, no. 17.)",206-17,Sk,2,1924,32
33,77,49,E, VI. Hair-pins (nos. 24‰ÛÓ34),"77,49","33. Similar to no. 28; head in form of pot with three incised circles beneath. Length 3- 18 in. Sk. ‰Ûª15‰ÛÓ370; Block E; sq. 77-49‰Ûª; stratum II. Cf. p. 162, no. 17 supra. (Pl. 199, no. 33 and P1. 206, no. 22.)",199-33 and 206-22,Sk,2,1915,32
34,45,59,C, VI. Hair-pins (nos. 24‰ÛÓ34),"45,59","34. Head of bone object of a wave pattern somewhat resembling no. 29, but without the side projections. Length 287 in. At the top is a groove with three holes for rivets; the shaft at the other end is broken. It may have been either a hair-pin or a knife-handle. In the former case, the groove and rivet holes may have been meant for the attachment of an additional ornament, possibly of metal. Sk. ‰Ûª15‰ÛÓ813; Block C; sq. 45- 59‰Ûª; stratum II. Cf. p. 149, no. 2 supra. (P1. 199, no. 34.) These are classi•Âed under one head, as two of them are frequently combined together. They take the form of short rods of bone, ivory, copper, bronze or lead, measuring from 3 to 6 in. in length. If required for smearing antimony or kohl round the eyes the rod is slightly clubbed; if required as a toothpick or nail- cleaner, it is pointed; if as an ear-cleaner, it is furnished with a tiny scoop. Some of the rods are clubbed at both ends; others have a club at one end and a point or scoop at the other; others have a point at one end and a scoop at the other. The earliest specimens found at Taxila date from the third, or possibly fourth, century 3.0.; the latest from the •Ârst century AD. In the earliest specimens from the Bhir Mound, bone or ivory is used for the simple clubbed antimony-rod, copper for the antimony-rod and ear-cleaner combined. In the later specimens from Sirkap, bone, ivory, copper, bronze and lead are used for the antimony-rods; bone, ivory and copper for the combination of ear-cleaner and toothpick; and copper only for the combination of antimony-rod and toothpick. The combination of antimony-rod and ear-cleaner has not been found in Sirkap. Antimony-rods or kohl‰ÛÓsticks, as they are sometimes called, were used in Egypt and the West from a very early age, and it is not unlikely that they and the ear-cleaners were introduced at TaXila by the Greeks. The usual Greek word for antimony was G'riuut or o•Âul. Ear-cleaners were called o‰Ûªo'royluois by the Greeks, auriscalpz'um by the Romans. The clubbed antimony-rod was doubtless used also for ordinary painting under the eyes with lamp-black (Ì©‰Ûªto•Ââohos). See ‰Û÷ Copper and Bronze‰Ûª, Class VIII, nos. 212‰ÛÓ25, where references are given to similar Egyptian and Roman objects. Type a. Antimony-rods of bone and ivory. From the Bhir Mound and Sirkap.",199-34,Sk,2,1915,32
37,91,57,F," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","91,57","37. Similar, of ivory, with both ends clubbed. Length 5-87 in. Broken in middle. Sk. ‰Ûª26‰ÛÓ 2,773; Block F; sq. 91-57‰Ûª; stratum IV. (Pl. 206, no. 24.)",206-24,Sk,4,1926,32
38,63,57,D," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","63,57","38. Similar, of bone, broken at ends. Length 3-37 in. Sk. ‰Ûª24‰ÛÓI,456; Block D; sq. 63- 57'; . stratum III. Cf. p. 155 supra. Type I). Ear-cleaners and toothpicks combined. From the Saka‰ÛÓParthian strata in Sirkap only.",,Sk,3,1924,32
39,163,112,K," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","163,112","39. Combination of ear-cleaner and toothpick, of bone. Length 3-56in. Sk. ‰Ûª27‰ÛÓ137; Block K‰Ûª; sq. 163-112‰Ûª; stratum III. Cf. p. 180 supra. (Pl. 206, no. 29.)",206-29,Sk,3,1927,32
40,,,D," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)",,"40. Similar. Length 45 in. Sk. ‰Ûª29-I,742; Block D‰Ûª; sq. 6588; stratum III. Cf. p. 191 supra. (Pl. 206, no. 27.)",206-27,Sk,3,1929,32
41,97,53,G," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","97,53","41. Similar, damaged. Length 337 in. Sk. ‰Ûª26‰ÛÓ2,I8I; Block G; sq. 97-53‰Ûª; stratum II. Cf. p. 169 supra.",,Sk,2,1926,32
42,75,54,E," VII. Antimony-rods, ear-cleaners and toothpicks (nos. 3 5~42)","75,54","42. Similar, of ivory, broken. Length 25 in. Sk. ‰Ûª13~I,168; Block E; sq. 75-54; stratum II. Cf. p. 162, no. I7 supra. ' Like the metal mirrors themselves (‰Û÷Copper and Bronze ‰Ûª, nos. 208‰ÛÓ1 1), mirror- handles come exclusively from Sirkap and are referable to the •Ârst century B.C. and A.D. Mirrors are one of the many things introduced from the Greek Orient either by the Greeks themselves or by their successors, the Sakas or the Parthians. Their handles are made of both bone and ivory, and fall into two classes, viz.: (a) those decorated with •Âgure-carvings in relief, and (1)) those turned on the lathe and decorated with mouldings and incised lines and hatching. Type a. Handles of mirrors carved in relief.",,Sk,2,1913,32
43,91,92,F," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","91,92","43. Bone handle, with the •Âgure of a woman carved in relief on one side. She wears long ear ornaments, necklace with pendant, girdle, heavy anklets and bangles. The bone is hollow. For the anklets, cf. ‰Û÷ Gold and Silver Jewellery‰Ûª, nos. 148‰ÛÓ65. Length 6-31 in. Sk. ‰Ûª28‰ÛÓ2,483; Block F'; sq. 91-92‰Ûª; stratum IV. Cf. pp. 135, I83 supra. (P1. 203, k.)",203-k,Sk,4,1928,32
44,72,75,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","72,75","44. Similar, of rough workmanship. The woman‰Ûªs hair is dressed in a plain mass on either side of head. Length 6-2 in. Sk. ‰Ûª37; sq. 72-75‰Ûª; Main Street; stratum II.",,Sk,2,1937,32
45,85,89,F," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","85,89","45. Similar. Length 5-25 in. Feet and anklets missing. The woman wears a garland on her head, as in no. 47 and in numerous stucco and other •Âgures of the Parthian period. The ‰Û÷diamond and reel‰Ûª motif of her girdle resembles that found in stone carvings of the Early Indian School. Observe the long pendants on either side of the head, which, like those in no. 46, seem to be suspended from the head‰ÛÓdress, not from the ears. There is a socket-hole in the right top corner to take the tenon of the mirror. Sk. ‰Ûª28~I,777; Block F‰Ûª; sq. 8 5-89‰Ûª; stratum II. Cf. p. 183 supra. (Pl. 203, l.)",203-l,Sk,2,1928,32
47,57,82,D," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","57,82","47. Handle of bone, broader than the preceding specimens, with male and female •Âgures standing side by side. The male •Âgure (to the left) wears a garment falling over his left shoulder, garland on head, bangles and girdle. The female wears her hair dressed in a double tier, crossed breast chain, bangles, girdle and anklets. The workmanship is crude and primitive. CH. 32] BONE AND IVORY OBJECTS 659 There are two socket-holes in the top. Size 437 x 237 in. Sk. ‰Ûª20‰ÛÓ769; Block D‰Ûª; sq. 57-82‰Ûª; stratum 1. Cf. p. 191 supra. (P1. 203, n.) Type b. Mirror and other handles turned on lathe and decorated with mouldings and incised lines and hatching.",203-n,Sk,1,1920,32
48,45,45,C," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","45,45","48. Bone mirror(?) handle turned on lathe and decorated with incised parallel rings, mouldings and hatching. Length 3-37 in. Sk. ‰Ûª24‰ÛÓ796; Block C; sq. 45'45‰Ûª; stratum III. Cf. p. 149, n. 2 supra.",,Sk,3,1924,32
49,107,49,G," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","107,49","49. Similar. Length 287 in. 'Sk. ‰Ûª26‰ÛÓ2,487; Block G; sq. 107'49‰Ûª; stratum III. Cf. p. 169 supra. (Pl. 199, no. 49.)",199-49,Sk,3,1926,32
50,80,78,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","80,78","50. Similar, with base-like end and more pronounced mouldings. Length 3-31 in. Sk. ‰Ûª17‰ÛÓ 40; Seventh Street (west); sq. 80-78‰Ûª; stratum II. (Pl. 199, no. 50.)",199-50,Sk,2,1917,32
51,172,55,K," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","172,55",51. Similar. Length 3-25 in. Sk. ‰Ûª14‰ÛÓ219; Block K; sq. 172-55‰Ûª; stratum II. Cf. p. 177 supra.,,Sk,2,1914,32
52,38,87,B," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","38,87","52. Similar, but smaller and with deeper mouldings, and transverse hole near bottom. This and the three handles following were probably not mirror-handles. Length 2 in. Sk. ‰Ûª12‰ÛÓ400; Block B‰Ûª; sq. 38-87‰Ûª; stratum II. Cf. p. 194 supra. (Pl. 199, no. 52.)",199-52,Sk,2,1912,32
54,16,98,A," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","16,98","54. Similar but plainer, with projecting tenon at one end and two holes pierced transversely across body. Length 231 in. Sk. ‰Ûª22‰ÛÓ334; Block A‰Ûª; sq. 16-98‰Ûªj stratum II. Cf. p. 195 supra. (P1. 199, no. 54.)",199-54,Sk,2,1922,32
55,125,68,H," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","125,68","55. Similar, with broken end. Length 212 in. Sk. ‰Ûª15‰ÛÓ5 14; Block H; sq. 125-68‰Ûª; stratum II. Cf. p. 170 supra. (Pl. 199, no. 55.)",199-55,Sk,2,1915,32
59,13,62,," VIII. Handles of mirrors, fan, combs and other articles (nos. 43‰ÛÓ59)","13,62","59. Similar, but of ivory and decorated on the back with incised parallel lines running the length of the handle. Length 4 in. Sk. ‰Ûª27‰ÛÓ3 58; Trench D 85; stratum IV. (Pl. 200, g.) 6o. Irregular disk of bone with a number of punctured dots on one surface. Diam. 2-25 in. Bm. ‰Ûª30‰ÛÓ1,126; sq. 13-62'; stratum IV. (Pl. 205, i.) 66o BONE AND IVORY OBJECTS [CH. 32 GROUP C. DOMESTIC ARTICLES Comprising knife-handles, spoons, stili, and spindle-whorls. These date from the Saka-Parthian period and are made of bone and ivory.","200-g, 205-i",Sk,4,1927,32
61,,,C, X. Handles of knives and other articles (nos. 61‰ÛÓ6),,"61. Bone handle of a small knife. Length 2' 56 in. At one end there is a groove with three rivet holes for •Âxing the blade; at the other a heart and circle design is fretted through the thickness of the handle. Sk. ‰Ûª12‰ÛÓ1,014; Block C; sq. 44‰Û÷64‰Ûª; stratum III. Cf. p. 149, n. 2 supra. (Pl. 200, b.)",200-b,Sk,3,1912,32
62,97,65,G, X. Handles of knives and other articles (nos. 61‰ÛÓ6),"97,65","62. Similar, of ivory, with a triratna at the butt-end of the handle. Length 281 in. Sk. ‰Ûª13‰ÛÓ17; Block G; sq. 97-65‰Ûª; stratum III. Cf. p. 169 supra. (Pl. 200, d.)",200-d,Sk,3,1913,32
63,15,87,A, X. Handles of knives and other articles (nos. 61‰ÛÓ6),"15,87","63. Bone side-piece of a knife-handle decorated with incised circlets and chevrons. Near one end is an iron rivet. Length 3-12 in. Sk. ‰Ûª28‰ÛÓ67; Block A‰Ûª; sq. 15-87‰Ûª; stratum II. Cf. p. 195 supra. (Pl. 200, c.)",200-c,Sk,2,1928,32
64,106,73,, X. Handles of knives and other articles (nos. 61‰ÛÓ6),"106,73","64. Similar, of ivory, Without decoration. Two holes for rivets. The ivory is burnt black, and part is broken. Length 225 in. Sk. ‰Ûª17‰ÛÓ266; Main Street; sq. 106-73‰Ûª; stratum II. (P1. 200, n.)",200-n,Sk,2,1917,32
65,,,, X. Handles of knives and other articles (nos. 61‰ÛÓ6),,"65. Similar to preceding but decorated with incised circlets. Two holes for rivets. Length 281 in. Sk. ‰Ûª20‰ÛÓ2; spoil earth; stratum II. (Pl. 200, e.)",200-e,Sk,2,1920,32
67,35,89,B," XI. Spoons (nos. 67, 68)","35,89","67. Spoon of bone with shallow bowl. The handle, partly broken, is •Ââat in front, convex at back. Length 4-25 in. Sk. ‰Ûª29‰ÛÓ2,761; Block B‰Ûª; sq. 3 5-89‰Ûª; stratum VI. Cf. p. 129 supra. (Pl. 200, h.)",200-h,Sk,6,1929,32
